Departure,Return,Departure station,Return station,Covered distance (m),Duration (sec.),Geocoded Departure Station,Geocoded Return Station
2024-09-01 18:46:52,2024-09-01 18:47:18,021 Port Marianne,021 Port Marianne,0.0,23,43.6059165,43.6059165
2024-09-01 18:45:52,2024-09-01 19:08:28,047 Place Viala,047 Place Viala,4257.0,1352,43.8823078,43.8823078
2024-09-01 18:45:25,2024-09-02 08:00:29,057 Saint-Guilhem,046 Père Soulas,2380.0,47696,43.8573737,43.629507950000004
2024-09-01 18:30:18,2024-09-01 19:36:34,029 Richter,029 Richter,8707.0,3972,43.12495056853164,43.12495056853164
2024-09-01 18:28:23,2024-09-01 19:36:40,029 Richter,029 Richter,8819.0,4093,43.12495056853164,43.12495056853164
2024-09-01 18:27:27,2024-09-01 18:40:23,010 Rondelet,057 Saint-Guilhem,1225.0,771,48.532387,43.8573737
2024-09-01 18:25:21,2024-09-01 21:17:41,010 Rondelet,010 Rondelet,13101.0,10337,48.532387,48.532387
2024-09-01 18:19:32,2024-09-01 18:28:48,023 Les Arceaux,046 Père Soulas,2419.0,551,44.4849308,43.629507950000004
2024-09-01 18:02:05,2024-09-01 18:14:51,049 Tonnelles,009 Observatoire,3749.0,761,45.3878932,48.8295667
2024-09-01 17:58:52,2024-09-01 17:59:18,011 Plan Cabanes,011 Plan Cabanes,0.0,22,43.608824,43.608824
2024-09-01 17:57:39,2024-09-01 17:58:01,011 Plan Cabanes,011 Plan Cabanes,0.0,17,43.608824,43.608824
2024-09-01 17:51:41,2024-09-01 17:52:24,034 Vert Bois,034 Vert Bois,0.0,38,45.561860922767686,45.561860922767686
2024-09-01 17:49:32,2024-09-01 18:03:54,026 Renouvier,046 Père Soulas,3101.0,857,42.62099,43.629507950000004
2024-09-01 17:42:47,2024-09-01 17:54:52,046 Père Soulas,011 Plan Cabanes,1931.0,720,43.629507950000004,43.608824
2024-09-01 17:40:59,2024-09-01 17:48:30,026 Renouvier,002 Comédie,1394.0,447,42.62099,43.60918635
2024-09-01 17:35:27,2024-09-03 20:42:46,057 Saint-Guilhem,057 Saint-Guilhem,933.0,184035,43.8573737,43.8573737
2024-09-01 17:29:49,2024-09-01 17:48:08,007 Foch,036 Occitanie,3459.0,1094,46.715742,43.46674525
2024-09-01 17:28:20,2024-09-01 17:28:49,021 Port Marianne,021 Port Marianne,0.0,23,43.6059165,43.6059165
2024-09-01 17:16:04,2024-09-03 12:25:03,014 Beaux-Arts,014 Beaux-Arts,4118.0,155333,40.90263984580557,40.90263984580557
2024-09-01 17:00:19,2024-09-01 18:52:15,029 Richter,029 Richter,8170.0,6712,43.12495056853164,43.12495056853164
2024-09-01 16:59:45,2024-09-01 18:50:58,029 Richter,029 Richter,8106.0,6669,43.12495056853164,43.12495056853164
2024-09-01 16:59:34,2024-09-01 18:51:13,029 Richter,029 Richter,8833.0,6695,43.12495056853164,43.12495056853164
2024-09-01 16:56:26,2024-09-01 17:14:35,036 Occitanie,009 Observatoire,4192.0,1086,43.46674525,48.8295667
2024-09-01 16:54:07,2024-09-01 17:28:53,012 Boutonnet,012 Boutonnet,5472.0,2083,44.9782454,44.9782454
2024-09-01 16:51:39,2024-09-01 17:17:17,030 Charles Flahault,030 Charles Flahault,3930.0,1534,43.6207037,43.6207037
2024-09-01 16:49:53,2024-09-01 21:41:16,013 Emile Combes,013 Emile Combes,6030.0,17479,48.0988877,48.0988877
2024-09-01 16:46:41,2024-09-01 16:48:26,025 Nouveau Saint-Roch,025 Nouveau Saint-Roch,0.0,101,43.1205741,43.1205741
2024-09-01 16:46:16,2024-09-01 17:24:10,009 Observatoire,009 Observatoire,198.0,2269,48.8295667,48.8295667
2024-09-01 16:42:45,2024-09-01 16:43:09,012 Boutonnet,012 Boutonnet,2.0,19,44.9782454,44.9782454
2024-09-01 16:42:14,2024-09-01 19:40:20,021 Port Marianne,021 Port Marianne,23270.0,10681,43.6059165,43.6059165
2024-09-01 16:41:42,2024-09-01 17:30:27,034 Vert Bois,034 Vert Bois,2866.0,2921,45.561860922767686,45.561860922767686
2024-09-01 16:40:57,2024-09-01 19:41:21,021 Port Marianne,021 Port Marianne,23082.0,10819,43.6059165,43.6059165
2024-09-01 16:38:42,2024-09-01 16:56:59,059 Sud De France,031 Voltaire,3965.0,1091,47.5743085,-34.767171000000005
2024-09-01 16:38:30,2024-09-01 17:29:55,034 Vert Bois,034 Vert Bois,2799.0,3079,45.561860922767686,45.561860922767686
2024-09-01 16:37:24,2024-09-01 16:40:12,034 Vert Bois,034 Vert Bois,44.0,162,45.561860922767686,45.561860922767686
2024-09-01 16:27:49,2024-09-01 16:34:26,012 Boutonnet,019 Louis Blanc,1298.0,392,44.9782454,49.254858739999996
2024-09-01 16:27:03,2024-09-01 16:27:30,042 Marie Caizergues,042 Marie Caizergues,0.0,22,43.6201061,43.6201061
2024-09-01 16:26:12,2024-09-01 16:43:41,046 Père Soulas,046 Père Soulas,3067.0,1044,43.629507950000004,43.629507950000004
2024-09-01 16:20:07,2024-09-01 16:33:05,014 Beaux-Arts,012 Boutonnet,2111.0,773,40.90263984580557,44.9782454
2024-09-01 16:19:57,2024-09-01 20:42:38,002 Comédie,002 Comédie,26799.0,15757,43.60918635,43.60918635
2024-09-01 16:16:39,2024-09-01 17:16:00,036 Occitanie,036 Occitanie,8327.0,3556,43.46674525,43.46674525
2024-09-01 16:15:47,2024-09-01 17:16:04,036 Occitanie,036 Occitanie,8415.0,3611,43.46674525,43.46674525
2024-09-01 16:15:13,2024-09-01 17:16:00,036 Occitanie,036 Occitanie,8272.0,3642,43.46674525,43.46674525
2024-09-01 16:14:07,2024-09-01 19:31:58,039 Aiguelongue,039 Aiguelongue,4982.0,11867,43.6331438,43.6331438
2024-09-01 16:13:33,2024-09-01 16:14:39,034 Vert Bois,034 Vert Bois,8.0,62,45.561860922767686,45.561860922767686
