id_local,id_osm,code_com_d,ame_d,sens_d,local_d,statut_d,code_com_g,ame_g,sens_g,statut_g,date_maj
id_loc924955936,way/924955936,34270,PISTE CYCLABLE,BIDIRECTIONNEL,TROTTOIR,EN SERVICE,34270,AUTRE,UNIDIRECTIONNEL,EN SERVICE,2021-04-01
id_loc924955926,way/924955926,34270,PISTE CYCLABLE,BIDIRECTIONNEL,TROTTOIR,EN SERVICE,34270,AUTRE,UNIDIRECTIONNEL,EN SERVICE,2021-04-09
id_loc129011507,way/129011507,34270,PISTE CYCLABLE,BIDIRECTIONNEL,TROTTOIR,EN SERVICE,34270,AUTRE,UNIDIRECTIONNEL,EN SERVICE,2021-04-01
id_loc530023477,way/530023477,34270,PISTE CYCLABLE,BIDIRECTIONNEL,TROTTOIR,EN SERVICE,34270,AUTRE,UNIDIRECTIONNEL,EN SERVICE,2021-04-01
id_loc924907096,way/924907096,34270,BANDE CYCLABLE,UNIDIRECTIONNEL,CHAUSSEE,EN SERVICE,34270,AUCUN,,EN SERVICE,2021-04-01
id_loc924907097,way/924907097,34270,PISTE CYCLABLE,BIDIRECTIONNEL,TROTTOIR,EN SERVICE,34270,AUTRE,UNIDIRECTIONNEL,EN SERVICE,2021-04-01
id_loc133879736,way/133879736,34270,AUCUN,,,EN SERVICE,34270,BANDE CYCLABLE,UNIDIRECTIONNEL,EN SERVICE,2021-04-01
id_loc924964922,way/924964922,34270,AUCUN,,,EN SERVICE,34270,BANDE CYCLABLE,UNIDIRECTIONNEL,EN SERVICE,2023-01-06
id_loc1073193990,way/1073193990,34270,PISTE CYCLABLE,BIDIRECTIONNEL,TROTTOIR,EN SERVICE,34270,AUCUN,,EN SERVICE,2023-12-03
id_loc924964930,way/924964930,34270,PISTE CYCLABLE,BIDIRECTIONNEL,TROTTOIR,EN SERVICE,34270,AUTRE,UNIDIRECTIONNEL,EN SERVICE,2021-04-01
id_loc437948788,way/437948788,34270,PISTE CYCLABLE,UNIDIRECTIONNEL,TROTTOIR,EN SERVICE,34270,AUCUN,,EN SERVICE,2021-04-01
id_loc437948787,way/437948787,34270,PISTE CYCLABLE,BIDIRECTIONNEL,TROTTOIR,EN SERVICE,34270,AUTRE,UNIDIRECTIONNEL,EN SERVICE,2023-12-30
id_loc924964928,way/924964928,34270,AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE,UNIDIRECTIONNEL,TROTTOIR,EN SERVICE,34270,AUCUN,,EN SERVICE,2021-04-01
id_loc924964923,way/924964923,34270,BANDE CYCLABLE,UNIDIRECTIONNEL,CHAUSSEE,EN SERVICE,34270,AUCUN,,EN SERVICE,2021-04-01
id_loc249927805,way/249927805,34172,AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE,BIDIRECTIONNEL,TROTTOIR,EN SERVICE,34172,AUCUN,,EN SERVICE,2017-11-15
