Departure,Return,Departure station,Return station,Covered distance (m),Duration (sec.)
2024-09-01 19:57:23,2024-09-01 20:10:00,vélostation Plan Cabanes,vélostation Parvis Jules Ferry - Gare Saint-Roch,1651.0,751
2024-09-01 19:56:33,2024-09-01 20:48:16,vélostation Place Albert 1er - St Charles,vélostation Hôtel de Ville,9907.0,3099
2024-09-01 19:54:40,2024-09-01 20:04:09,vélostation Corum,vélostation Antigone centre,1217.0,564
2024-09-01 19:54:07,2024-09-01 20:31:05,vélostation Nouveau Saint-Roch,vélostation Deux Ponts - Gare Saint-Roch,5254.0,2213
2024-09-01 19:52:39,2024-09-01 20:38:19,vélostation Vert Bois,vélostation Fac de Lettres,3896.0,2737
2024-09-01 19:51:16,2024-09-01 19:53:18,vélostation Vert Bois,vélostation Vert Bois,26.0,118
2024-09-01 19:50:37,2024-09-01 20:49:10,vélostation Médiathèque Emile Zola,vélostation Rue Jules Ferry - Gare Saint-Roch,8361.0,3507
2024-09-01 19:46:04,2024-09-01 19:57:25,vélostation Jeu de Mail des Abbés,vélostation Jeu de Mail des Abbés,1939.0,677
2024-09-01 19:45:44,2024-09-01 19:57:52,vélostation Jeu de Mail des Abbés,vélostation Jeu de Mail des Abbés,1950.0,723
2024-09-01 19:43:57,2024-09-01 20:13:42,vélostation Celleneuve,vélostation Garcia Lorca,6669.0,1781
2024-09-01 19:43:56,2024-09-01 19:44:25,vélostation Père Soulas,vélostation Père Soulas,2.0,25
2024-09-01 19:43:04,2024-09-01 20:52:30,vélostation Place Viala,vélostation Place Albert 1er - St Charles,2481.0,4160
2024-09-01 19:40:19,2024-09-01 19:53:58,vélostation Occitanie,vélostation Boutonnet,2460.0,816
2024-09-01 19:40:06,2024-09-01 19:46:40,vélostation Occitanie,vélostation fac des sciences,1165.0,389
2024-09-01 19:40:06,2024-09-01 20:13:42,vélostation Fac de Lettres,vélostation Albert 1er - Cathédrale,3985.0,2010
2024-09-01 19:38:16,2024-09-01 20:13:51,vélostation Fac de Lettres,vélostation Albert 1er - Cathédrale,4010.0,2128
2024-09-01 19:37:17,2024-09-01 20:07:42,vélostation Hôtel de Ville,vélostation Médiathèque Emile Zola,2352.0,1820
2024-09-01 19:36:31,2024-09-01 19:44:05,vélostation Les Aubes,vélostation Emile Combes,1462.0,448
2024-09-01 19:36:31,2024-09-01 20:07:46,vélostation Hôtel de Ville,vélostation Médiathèque Emile Zola,2593.0,1869
2024-09-01 19:35:31,2024-09-01 19:44:25,vélostation Les Aubes,vélostation Louis Blanc,1564.0,529
2024-09-01 19:35:02,2024-09-02 08:22:24,vélostation Nombre d'Or,vélostation Médiathèque Emile Zola,2080.0,46037
2024-09-01 19:34:41,2024-09-01 19:56:04,vélostation Aiguelongue,vélostation Aiguelongue,2634.0,1278
2024-09-01 19:34:31,2024-09-01 19:34:53,vélostation Les Aubes,vélostation Les Aubes,0.0,18
2024-09-01 19:33:42,2024-09-01 20:38:54,vélostation Nombre d'Or,vélostation Nombre d'Or,11067.0,3907
2024-09-01 19:33:09,2024-09-01 19:41:45,vélostation Comedie Baudin,vélostation Renouvier,1327.0,512
2024-09-01 19:32:56,2024-09-01 19:42:27,vélostation Occitanie,vélostation Place Albert 1er - St Charles,2981.0,568
2024-09-01 19:32:35,2024-09-01 19:38:23,vélostation Rondelet,vélostation Renouvier,943.0,343
2024-09-01 19:31:41,2024-09-01 19:32:03,vélostation Rondelet,vélostation Rondelet,0.0,17
2024-09-01 19:30:13,2024-09-01 19:44:56,vélostation Charles Flahault,vélostation Nouveau Saint-Roch,2554.0,879
2024-09-01 19:29:39,2024-09-01 19:39:38,vélostation Place Albert 1er - St Charles,vélostation Aiguelongue,1833.0,595
2024-09-01 19:29:24,2024-09-01 19:54:13,vélostation fac des sciences,vélostation Albert 1er - Cathédrale,3359.0,1483
2024-09-01 19:28:34,2024-09-01 20:00:08,vélostation Pont de Lattes - Gare Saint-Roch,vélostation Pont de Lattes - Gare Saint-Roch,0.0,1890
2024-09-01 19:28:13,2024-09-01 19:29:42,vélostation Place Albert 1er - St Charles,vélostation Place Albert 1er - St Charles,46.0,84
2024-09-01 19:27:46,2024-09-01 20:49:11,vélostation Pont de Lattes - Gare Saint-Roch,vélostation Rue Jules Ferry - Gare Saint-Roch,10781.0,4881
2024-09-01 19:26:39,2024-09-01 19:27:10,vélostation Pont de Lattes - Gare Saint-Roch,vélostation Pont de Lattes - Gare Saint-Roch,0.0,26
2024-09-01 19:26:18,2024-09-01 19:28:11,vélostation Pont de Lattes - Gare Saint-Roch,vélostation Pont de Lattes - Gare Saint-Roch,2.0,109
2024-09-01 19:26:14,2024-09-01 19:35:35,vélostation Tonnelles,vélostation Les Arceaux,2795.0,557
2024-09-01 19:25:44,2024-09-01 19:42:27,vélostation Occitanie,vélostation Place Albert 1er - St Charles,3013.0,999
2024-09-01 19:24:03,2024-09-01 19:24:51,vélostation Albert 1er - Cathédrale,vélostation Albert 1er - Cathédrale,6.0,42
2024-09-01 19:20:53,2024-09-01 19:30:45,vélostation Malbosc,vélostation Père Soulas,2358.0,586
2024-09-01 19:20:47,2024-09-01 19:33:13,vélostation Observatoire,vélostation Fac de Lettres,2958.0,743
2024-09-01 19:17:21,2024-09-01 19:33:07,vélostation Rue Jules Ferry - Gare Saint-Roch,vélostation Les Aubes,2427.0,942
2024-09-01 19:16:55,2024-09-01 19:17:45,vélostation Albert 1er - Cathédrale,vélostation Albert 1er - Cathédrale,10.0,45
2024-09-01 19:15:47,2024-09-01 20:05:56,vélostation Nombre d'Or,vélostation Plan Cabanes,5905.0,3004
2024-09-01 19:15:43,2024-09-01 19:22:39,vélostation Comédie,vélostation Plan Cabanes,1004.0,412
2024-09-01 19:14:56,2024-09-01 19:22:39,vélostation Comédie,vélostation Plan Cabanes,1039.0,460
2024-09-01 19:14:06,2024-09-01 19:14:58,vélostation Nombre d'Or,vélostation Nombre d'Or,0.0,48
2024-09-01 19:13:53,2024-09-01 19:53:58,vélostation Louis Blanc,vélostation Occitanie,3761.0,2401
2024-09-01 19:13:16,2024-09-01 19:19:38,vélostation Jeu de Mail des Abbés,vélostation Louis Blanc,778.0,376
2024-09-01 19:13:05,2024-09-01 19:19:24,vélostation Jeu de Mail des Abbés,vélostation Louis Blanc,831.0,374
2024-09-01 19:12:36,2024-09-01 19:28:14,vélostation Jardin de la Lironde,vélostation Les Aubes,3457.0,934
2024-09-01 19:12:07,2024-09-01 19:12:31,vélostation Jeu de Mail des Abbés,vélostation Jeu de Mail des Abbés,0.0,20
2024-09-01 19:12:00,2024-09-01 20:34:49,vélostation Hôtel de Ville,vélostation Hôtel de Ville,0.0,4964
2024-09-01 19:11:25,2024-09-01 19:19:04,vélostation Jeu de Mail des Abbés,vélostation Louis Blanc,786.0,453
2024-09-01 19:09:36,2024-09-01 21:24:32,vélostation Pérols Etang de l'Or,vélostation Rue Jules Ferry - Gare Saint-Roch,14747.0,8092
